y,m,d,h,c
2018,2,19,22,1793
2018,2,19,23,214
2018,2,20,0,133
2018,2,20,1,218
2018,2,20,2,75
2018,2,20,3,63
2018,2,20,4,48
2018,2,20,5,35
2018,2,20,6,71
2018,2,20,7,141
2018,2,20,8,209
2018,2,20,9,332
2018,2,20,10,378
2018,2,20,11,248
2018,2,20,12,313
2018,2,20,13,335
2018,2,20,14,355
2018,2,20,15,457
2018,2,20,16,354
2018,2,20,17,407
2018,2,20,18,394
2018,2,20,19,626
2018,2,20,20,650
2018,2,20,21,485
2018,2,20,22,360
2018,2,20,23,207
2018,2,21,0,138
2018,2,21,1,56
2018,2,21,2,59
2018,2,21,3,41
2018,2,21,4,46
2018,2,21,5,64
2018,2,21,6,100
2018,2,21,7,150
2018,2,21,8,322
2018,2,21,9,385
2018,2,21,10,308
2018,2,21,11,377
2018,2,21,12,420
2018,2,21,13,231
2018,2,21,14,240
2018,2,21,15,239
2018,2,21,16,383
2018,2,21,17,332
2018,2,21,18,590
2018,2,21,19,431
2018,2,21,20,460
2018,2,21,21,600
2018,2,21,22,1851
2018,2,21,23,932
2018,2,22,0,146
2018,2,22,1,118
2018,2,22,2,113
2018,2,22,3,84
